entry_datetime,exit_datetime,action,entry_price,exit_price,profit,bar_len,size,cash,portfolio_value
2024-09-20 00:45:00,2024-09-20 01:30:00,BUY SIDE,63917.54,63700.15,-117.59000000000378,3,0,99882.41,99882.41
2024-09-20 02:15:00,2024-09-20 02:30:00,BUY SIDE,63704.09,63750.3,-13.64999999999418,1,0,99868.76000000001,99868.76000000001
2024-09-20 03:00:00,2024-09-20 04:30:00,BUY SIDE,63800.01,63288.0,-543.8899999999994,6,0,99324.87000000001,99324.87000000001
2024-09-20 04:45:00,2024-09-20 05:00:00,BUY SIDE,63288.0,63408.01,28.900000000001455,1,0,99353.77000000002,99353.77000000002
2024-09-20 05:15:00,2024-09-20 06:15:00,BUY SIDE,63382.4,63488.02,94.81999999999971,4,0,99448.59000000003,99448.59000000003
2024-09-20 07:15:00,2024-09-20 07:30:00,BUY SIDE,63570.7,63372.83,-76.48999999999796,1,0,99372.10000000003,99372.10000000003
2024-09-20 07:45:00,2024-09-20 09:30:00,BUY SIDE,63370.0,62736.37,-430.59999999999854,7,0,98941.50000000003,98941.50000000003
2024-09-20 10:45:00,2024-09-20 11:30:00,BUY SIDE,63269.45,63278.43,-376.4499999999971,3,0,98565.05000000003,98565.05000000003
2024-09-20 12:45:00,2024-09-20 13:00:00,BUY SIDE,62911.8,62946.43,-48.88000000000466,1,0,98516.17000000003,98516.17000000003
2024-09-20 13:15:00,2024-09-20 16:15:00,BUY SIDE,62950.08,62747.2,-213.83000000000175,12,0,98302.34000000003,98302.34000000003
2024-09-20 16:45:00,2024-09-20 17:15:00,BUY SIDE,62871.2,63231.9,422.8899999999994,2,0,98725.23000000003,98725.23000000003
2024-09-20 18:30:00,2024-09-20 18:45:00,BUY SIDE,63232.7,63219.0,12.340000000003783,1,0,98737.57000000004,98737.57000000004
2024-09-20 19:00:00,2024-09-20 19:15:00,BUY SIDE,63213.0,63146.79,-83.30000000000291,1,0,98654.27000000003,98654.27000000003
2024-09-20 19:45:00,2024-09-20 20:00:00,BUY SIDE,63161.1,63084.8,49.200000000004366,1,0,98703.47000000003,98703.47000000003
2024-09-20 22:00:00,2024-09-20 22:45:00,BUY SIDE,62833.89,62913.92,164.30999999999767,3,0,98867.78000000003,98867.78000000003
2024-09-20 23:45:00,2024-09-21 00:45:00,BUY SIDE,62940.34,62855.81,-110.1099999999933,4,0,98757.67000000004,98757.67000000004
2024-09-21 01:00:00,2024-09-21 01:15:00,BUY SIDE,62865.0,62919.57,13.349999999998545,1,0,98771.02000000005,98771.02000000005
2024-09-21 01:45:00,2024-09-21 03:30:00,BUY SIDE,62892.3,63026.2,98.69999999999709,7,0,98869.72000000004,98869.72000000004
2024-09-21 04:00:00,2024-09-21 04:15:00,BUY SIDE,63095.7,63052.58,-20.589999999996508,1,0,98849.13000000005,98849.13000000005
2024-09-21 05:15:00,2024-09-21 06:00:00,BUY SIDE,63129.0,63077.41,-5.9100000000034925,3,0,98843.22000000004,98843.22000000004
2024-09-21 06:45:00,2024-09-21 07:15:00,BUY SIDE,63040.19,63064.12,17.549999999995634,2,0,98860.77000000005,98860.77000000005
2024-09-21 08:00:00,2024-09-21 08:15:00,BUY SIDE,63113.9,63052.54,-54.950000000004366,1,0,98805.82000000004,98805.82000000004
2024-09-21 08:30:00,2024-09-21 09:00:00,BUY SIDE,63052.55,63060.23,177.4499999999971,2,0,98983.27000000003,98983.27000000003
2024-09-21 09:15:00,2024-09-21 09:45:00,BUY SIDE,63060.24,63198.55,109.22000000000116,2,0,99092.49000000003,99092.49000000003
2024-09-21 10:30:00,2024-09-21 10:45:00,BUY SIDE,63161.58,63312.76,99.56999999999971,1,0,99192.06000000003,99192.06000000003
2024-09-21 11:30:00,2024-09-21 11:45:00,BUY SIDE,63214.98,63183.84,-18.9800000000032,1,0,99173.08000000002,99173.08000000002
2024-09-21 12:00:00,2024-09-21 12:15:00,BUY SIDE,63225.1,63130.16,-37.61000000000058,1,0,99135.47000000002,99135.47000000002
2024-09-21 13:00:00,2024-09-21 13:45:00,BUY SIDE,63211.0,63296.06,97.0,3,0,99232.47000000002,99232.47000000002
2024-09-21 15:00:00,2024-09-21 15:30:00,BUY SIDE,63277.95,63234.06,-8.549999999995634,2,0,99223.92000000001,99223.92000000001
2024-09-21 16:30:00,2024-09-21 16:45:00,BUY SIDE,63203.92,63153.77,-39.43999999999505,1,0,99184.48000000001,99184.48000000001
2024-09-21 17:15:00,2024-09-21 17:30:00,BUY SIDE,63123.07,63075.35,0.16999999999825377,1,0,99184.65000000001,99184.65000000001
2024-09-21 18:00:00,2024-09-21 18:15:00,BUY SIDE,63117.3,63125.13,7.899999999994179,1,0,99192.55,99192.55
2024-09-21 18:30:00,2024-09-21 19:15:00,BUY SIDE,63126.8,63293.01,58.599999999998545,3,0,99251.15,99251.15
2024-09-21 19:30:00,2024-09-21 20:00:00,BUY SIDE,63293.0,63279.65,83.09999999999854,2,0,99334.25,99334.25
2024-09-21 20:15:00,2024-09-21 20:45:00,BUY SIDE,63279.65,63245.8,-129.63999999999942,2,0,99204.61,99204.61
2024-09-21 21:00:00,2024-09-21 22:30:00,BUY SIDE,63245.9,63019.0,-290.70000000000437,6,0,98913.91,98913.91
